epoch,train_mse,val_mse,train_r2,val_r2
1,0.23366661369800568,0.21430356800556183,-0.05321383476257324,-0.0020928382873535156
2,0.22328616678714752,0.21388578414916992,-0.006425619125366211,-0.00013935565948486328
3,0.22238750755786896,0.21465085446834564,-0.002375006675720215,-0.0037168264389038086
4,0.22243402898311615,0.21389158070087433,-0.002584695816040039,-0.00016641616821289062
5,0.22247782349586487,0.21470902860164642,-0.002782106399536133,-0.003988862037658691
6,0.2222544252872467,0.21459552645683289,-0.0017751455307006836,-0.0034580230712890625
7,0.22220556437969208,0.2143569439649582,-0.0015549659729003906,-0.0023424625396728516
8,0.22202922403812408,0.21427811682224274,-0.0007600784301757812,-0.001973867416381836
9,0.2217351794242859,0.21438495814800262,0.0005652308464050293,-0.00247347354888916
10,0.2223181277513504,0.2142888903617859,-0.0020623207092285156,-0.0020242929458618164
11,0.2219865471124649,0.21429431438446045,-0.0005677938461303711,-0.002049565315246582
12,0.22203870117664337,0.21429574489593506,-0.0008028745651245117,-0.0020562410354614258
13,0.22205547988414764,0.21438618004322052,-0.000878453254699707,-0.0024791955947875977
14,0.22211922705173492,0.21429193019866943,-0.0011658668518066406,-0.0020384788513183594
15,0.22190694510936737,0.21429327130317688,-0.00020897388458251953,-0.002044677734375
16,0.22218555212020874,0.21428820490837097,-0.0014647245407104492,-0.0020210742950439453
17,0.2219480276107788,0.21428978443145752,-0.0003942251205444336,-0.0020284652709960938
18,0.22197987139225006,0.2142930030822754,-0.0005377531051635742,-0.002043485641479492
19,0.22197800874710083,0.21429571509361267,-0.0005292892456054688,-0.002056121826171875
20,0.22226683795452118,0.21429023146629333,-0.0018311738967895508,-0.002030491828918457
